name,region,location,category,tier,contact,contactType,contactUrl,fit,activation,ask,status,verification,checked,sourceUrl,additionalSources,positions,logoUrls
NOON WORLD,Runningman roster,National prospect,Recovery + wellness,3,hello@noon.world,General company contact,https://noon.world/terms,"Supplement gummies are an optional product-discovery prospect, not a core festival need.",A small adult-only educational sampling table with ingredients and product instructions visible.,"Ask for event sampling rules, eligible audience, serving guidance and packaging; avoid health promises.",Prospect, no agreement,Official contact route checked,2026-09-20,https://noon.world/terms,,47,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-297.svg
Lorea,Runningman roster,National prospect,Adult-only exploratory,3,wholesale@drinklorea.com,Public wholesale contact,https://livelorea.com/pages/contact,Hemp-derived THC beverages; a distinct adult category with additional operating constraints.,Explore only an appropriately separated adult beverage experience if current rules and festival positioning permit it.,"Confirm current Texas product legality, venue permission, age controls, service responsibilities and insurance before proposing service.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://livelorea.com/pages/contact,https://livelorea.com/blogs/news/lorea-launch-designer-tonics,48,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_1-1-1.svg
melan,Runningman roster,National prospect,Camp + comfort,1,Official company contact form,General company contact,https://melansuncare.com/pages/contact,Sunscreen and sun-care products meet a direct outdoor-weekend need.,"A visible sun-care point before guests head onto the trails, paired with shade and refill reminders.","Ask for sealed samples, product instructions, storage and replenishment; establish a staffed, hygienic format.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://melansuncare.com/pages/contact,,49,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-288.svg
Rho,Runningman roster,National prospect,Community + media,3,Partner program; clientservice@rho.co for routing,Business partnership program; festival sponsorship fit unconfirmed,https://www.rho.co/partners,"A fintech business-finance platform, not a bank or nutrition brand. Its exact wordmark matches the roster.",An exploratory small-business partnership around the festival’s makers and independent vendors.,Ask whether event sponsorship fits the partner program and what commercial audience they need; avoid requesting attendee financial data.,Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://www.rho.co/partners,https://www.rho.co/,50,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-283.svg
SuckerPunch,Runningman roster,National prospect,Food + drink,2,contact@suckerpunchpickles.com,General company contact,https://suckerpunchpickles.com/pages/faqs,Packaged pickles and pickle juice offer a distinctive salty snack.,A post-ride pickle tasting with clearly labeled flavor choices.,"Ask for single-serve stock, case counts, serving format, ingredient labels and waste handling.",Prospect, no agreement,Official contact route checked,2026-09-20,https://suckerpunchpickles.com/pages/faqs,,51,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-281.svg
The Forward Bar,Runningman roster,National prospect,Food + drink,2,Official contact form,General company contact,https://theforwardbar.com/pages/contact,Whole-food bars fit a grab-and-go camp breakfast or trail-return snack.,A small breakfast-bar tasting beside the route briefing area.,"Ask for portions, shelf life, storage, allergens and event donation or wholesale terms.",Prospect, no agreement,Official contact route checked,2026-09-20,https://theforwardbar.com/pages/contact,,52,https://runningmanfestival.com/wp-content/uploads/2025/08/Capa_1.svg
LivOn Labs,Runningman roster,National prospect,Recovery + wellness,3,marketing@livonlabs.com,Public marketing contact,https://www.livonlabs.com/pages/contact,Liposomal supplements are a niche expo prospect rather than an essential guest service.,An optional staffed product-information counter within the expo.,"Ask marketing about event fit, sampling rules and labels; make no treatment or recovery promises.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.livonlabs.com/pages/contact,,53,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_1-2.svg
real sleep,Runningman roster,National prospect,Recovery + wellness,3,Official company contact form,General medical-service inquiry,https://www.therealsleep.com/pages/contact,"Sleep-apnea care, at-home testing and oral-appliance services; the exact wordmark matches the roster.","If relevant, a clinician-led educational conversation about sleep, with no on-site diagnosis implied.","Ask whether they do public education at events and what clinician, privacy and medical-service boundaries would apply.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://www.therealsleep.com/pages/contact,https://www.therealsleep.com/,54,https://runningmanfestival.com/wp-content/uploads/2025/08/rs-logo-white-1.svg
Rivian,Runningman roster,National prospect,Camp + comfort,2,Official support; request events / partnerships,General company route,https://rivian.com/support,"Electric adventure vehicles fit the outdoor setting, subject to access and safe display planning.",A static adventure-vehicle campsite display with an authorized team.,"Ask for a Texas events contact, delivery, display footprint and charging needs; any driving needs separate approval.",Prospect, no agreement,Official contact route checked,2026-09-20,https://rivian.com/support,,55,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_1-2-1.svg
Skratch Labs,Runningman roster,National prospect,Food + drink,1,Event support application; sales@skratchlabs.com for retailers,Explicit events / sponsorship route,https://www.skratchlabs.com/pages/events,Endurance hydration and nutrition align directly with riding and running.,A trail-return hydration point and short fueling conversation with a local cycling shop.,"Ask for event support eligibility, servings, potable water, dispensers, staff and timing.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.skratchlabs.com/pages/events,,56,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_1-3.svg
POWERADE Power Water,Runningman roster,National prospect,Food + drink,2,Official brand site / contact navigation,General brand route; partnership lead unverified,https://www.powerade.com/,Ready-to-drink hydration can serve a larger audience with simpler preparation.,"Chilled, branded pickup points after activity, alongside plain water.","Ask for the regional Coca-Cola bottler / event marketing route, product availability, refrigeration and recycling.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.powerade.com/,,57,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_1-4.svg
